fnummer,personstatus,fornavn,etternavn,kjoenn,foedselsdato,postnummer
11820198176,BOSATT,Hakkete,Geografi,MANN,2001-02-11,2409
11820198338,BOSATT,Sviktende,Bølge,MANN,2001-02-11,4636
11871198235,BOSATT,Naturstridig,Litteratur,KVINNE,2011-07-11,5984
11896395302,DOED,Glatt,Cv,MANN,1963-09-11,0553
11900397544,BOSATT,Heit,Geografi,MANN,2003-10-11,1163
11929196319,BOSATT,Treg,Sans,MANN,1991-12-11,8135
11929196580,IKKE_BOSATT,Blikk,Box,MANN,1991-12-11,None
12812199631,BOSATT,Utørst,Plekter,KVINNE,2021-01-12,7670
12826195884,BOSATT,Smal,Abbor,KVINNE,1961-02-12,1338
12828898742,BOSATT,Spettete,Litteratur,MANN,1988-02-12,5984
12850096749,BOSATT,Gul,Blömst,MANN,2000-05-12,8803
12852199863,BOSATT,Storartet*Pike,Akrobat,KVINNE,2021-05-12,2480
12857097600,BOSATT,Sjelden,Løvetann,KVINNE,1970-05-12,2312
12860296347,BOSATT,Svak,Bølge,MANN,2002-06-12,4636
12860296851,BOSATT,Fandenivoldsk,Geografi,KVINNE,2002-06-12,2409
12860297211,BOSATT,Illevarslende,Fan,KVINNE,2002-06-12,1636
12889197658,BOSATT,Moden,Päre,KVINNE,1991-08-12,2819
12928998469,BOSATT,Oppjaget,Aktivitet,KVINNE,1989-12-12,0953
13828798337,BOSATT,Populær,Kvern,MANN,1987-02-13,8135
13852199630,FOEDSELSREGISTRERT,Utslitt*Pike,Lommebok,KVINNE,2021-05-13,None
13852199983,FOEDSELSREGISTRERT,Intuisjon*Gutt,Svak,MANN,2021-05-13,None
13928797087,BOSATT,Urolig,Kommune,KVINNE,1987-12-13,0139
14811998088,BOSATT,Mini,Ubåt,KVINNE,2019-01-14,1178
14812097254,BOSATT,Påtroppende,Fotkrem,KVINNE,2020-01-14,7670
14826194635,BOSATT,Nådeløs,Vulkan,KVINNE,1961-02-14,0953
14839196459,DOED,Sterk Uventet,Orkan,KVINNE,1991-03-14,3610
14848996700,BOSATT,Mot,Bakke,MANN,1989-04-14,3930
14852199831,BOSATT,Snål*Pike,Agurktid,KVINNE,2021-05-14,2830
14852199912,BOSATT,Foretaksom*Gutt,Abbedisse,MANN,2021-05-14,3518
14865095369,BOSATT,Usymmetrisk,Abakus,MANN,1950-06-14,7024
14872097628,BOSATT,Eksakt,Akrobat,KVINNE,2020-07-14,7670
14875196597,DOED,Kraftig,Storm,MANN,1951-07-14,9007
14876995183,UTFLYTTET,Slitsom,Telefon,MANN,1969-07-14,1338
14879197717,BOSATT,Spretten,Frosk,MANN,1991-07-14,2552
14879396884,BOSATT,Utslitt,Lommebok,KVINNE,1993-07-14,4815
14884895791,BOSATT,Ugyldig,Invitasjon,MANN,1948-08-14,9023
14915194827,BOSATT,Kraftig,Energi,KVINNE,1951-11-14,8800
14917896659,BOSATT,Skjev,Skrue,KVINNE,1978-11-14,9600
14918196308,BOSATT,Blå,Kulepenn,MANN,1981-11-14,1446
14925695786,BOSATT,Stridig,Panservogn,MANN,1956-12-14,2005
15811998289,BOSATT,Deilig,Solbær,KVINNE,2019-01-15,7670
15818896082,BOSATT,Jordisk,Fastmerke,KVINNE,1988-01-15,8135
15852199951,BOSATT,God*Gutt,Agent,MANN,2021-05-15,5111
15858196016,BOSATT,Varm,Slåbrokk,KVINNE,1981-05-15,0953
15860698681,BOSATT,Intuitiv,Vaskemaskin,KVINNE,2006-06-15,1890
16820797888,BOSATT,Fast,Stemorsblomst,KVINNE,2007-02-16,1890
16821497349,BOSATT,Matematisk,Sans,MANN,2014-02-16,8135
16871997989,BOSATT,Entusiastisk,Dagsorden,MANN,2019-07-16,6896
16872099011,BOSATT,Levende,Moskus,KVINNE,2020-07-16,4560
16892097686,BOSATT,Ordknapp,Drosje,KVINNE,2020-09-16,6610
16917294368,BOSATT,Dogmatisk,Løvinne,MANN,1972-11-16,4025
17819198497,BOSATT,Deilig,Gitarhals,KVINNE,1991-01-17,0139
17846197265,BOSATT,Åpenbar,Vulkan,KVINNE,1961-04-17,0953
17848197130,DOED,Lydhør,Kontingent,MANN,1981-04-17,0254
17850897131,BOSATT,Skjør,Babybag,MANN,2008-05-17,7082
17852199768,FOEDSELSREGISTRERT,Bilbane*Gutt,Høylytt,MANN,2021-05-17,None
17855095386,BOSATT,Voksen,Vind,MANN,1950-05-17,9007
17868194901,BOSATT,Vassen,Klut,MANN,1981-06-17,0139
17875697463,BOSATT,Stilren,Vinduskarm,KVINNE,1956-07-17,2005
17882097897,BOSATT,Slem,Stasjonsvogn,KVINNE,2020-08-17,5986
17885398022,BOSATT,Vindtett,Anorakk,KVINNE,1953-08-17,2000
17899198093,BOSATT,Vindtett,Anorakk,KVINNE,1991-09-17,2005
17911897733,BOSATT,Mini,Slåbrokk,MANN,2018-11-17,1672
17915195113,BOSATT,Følsom,Auksjon,MANN,1951-11-17,1394
17915795714,BOSATT,Stor,Vegg,MANN,1957-11-17,0953
17918198083,DOED,Alvorlig,Bordskikk,KVINNE,1981-11-17,0553
17918896694,DOED,Folksom,Bussterminal,KVINNE,1988-11-17,2324
17919198192,BOSATT,Distingvert,Bille,MANN,1991-11-17,2000
18878298469,BOSATT,Vaiende,Blåklokke,KVINNE,1982-07-18,2315
19876395668,DOED,Åpenbar,Trompet,KVINNE,1963-07-19,2010
19892098053,BOSATT,Mini,Anorakk,KVINNE,2020-09-19,2005
20852199432,FOEDSELSREGISTRERT,Ballong*Pike,Grønn,KVINNE,2021-05-20,None
20852199866,FOEDSELSREGISTRERT,Lykkelig*Pike,Laks,KVINNE,2021-05-20,None
20862199937,FOEDSELSREGISTRERT,Spennende*Gutt,Bok,MANN,2021-06-20,None
20917698490,BOSATT,Bemerkelsesverdig,Abakus,KVINNE,1976-11-20,2030
21835295475,DOED,Torden,Sky,KVINNE,1952-03-21,9007
21852199633,FOEDSELSREGISTRERT,Juletre*Pike,Svaksynt,KVINNE,2021-05-21,None
21858996411,BOSATT,Sist,Natt,KVINNE,1989-05-21,6006
21865394834,BOSATT,Falsk,Energi,KVINNE,1953-06-21,1394
21876894847,BOSATT,Spretten,Hare,KVINNE,1968-07-21,6133
21891097562,BOSATT,Sterk,Drosje,MANN,2010-09-21,4336
22812199874,BOSATT,Hullete,Teleskop,KVINNE,2021-01-22,0785
22812199955,BOSATT,Heit,Teleskop,MANN,2021-01-22,4025
22891197199,BOSATT,Utholden,Hakke,MANN,2011-09-22,4336
23812199803,BOSATT,Heit,Teleskop,KVINNE,2021-01-23,4025
23868195991,BOSATT,Gretten,Bil,MANN,1981-06-23,4025
23902098119,BOSATT,Kul,Hage,MANN,2020-10-23,6610
23922099820,BOSATT,Tremulert,Dialekt,KVINNE,2020-12-23,8005
23922099901,BOSATT,Hullete,Bagasje,MANN,2020-12-23,0275
24811898623,BOSATT,Fandenivoldsk,Teleskop,KVINNE,2018-01-24,4025
24811898895,BOSATT,Heit,Teleskop,KVINNE,2018-01-24,0785
24815297403,BOSATT,Liten,Orkan,KVINNE,1952-01-24,9007
24858197003,BOSATT,Aktuell Bevisst,Baby,KVINNE,1981-05-24,0875
24858997565,BOSATT,Spretten,Gresshoppe,MANN,1989-05-24,0957
24865196578,DOED,Sliten,Støvel,MANN,1951-06-24,2000
24865395554,BOSATT,Støyende,Auksjon,MANN,1953-06-24,1394
24865896766,BOSATT,Verdifull,Vinterdress,MANN,1958-06-24,2005
24866797133,BOSATT,Illsint,Gladkokk,MANN,1967-06-24,6030
24878996328,BOSATT,Oransje,Adjutant,MANN,1989-07-24,5984
24881698974,BOSATT,Mini,Gaselle,MANN,2016-08-24,2005
24896795526,BOSATT,Spretten,Gressehoppe,MANN,1967-09-24,2005
24898197820,DOED,Forsiktig,Bunad,KVINNE,1981-09-24,2324
24920398134,BOSATT,Grønn,Krokodille,MANN,2003-12-24,2008
25849396148,BOSATT,Nyklippet,Kylling,MANN,1993-04-25,1394
25849396490,DOED,Svak,Saus,KVINNE,1993-04-25,2618
25852199760,BOSATT,Kunnskapsrik*Gutt,Adresse,MANN,2021-05-25,1763
25852199841,BOSATT,Juridisk*Pike,Agg,KVINNE,2021-05-25,0562
25852199922,BOSATT,Mobil*Gutt,Abbed,MANN,2021-05-25,4307
25871997244,BOSATT,Snasen,Teleskop,KVINNE,2019-07-25,0785
25871997325,BOSATT,Mulikalsk,Teleskop,MANN,2019-07-25,4025
25904995730,UTFLYTTET,Lang,Krokodille,MANN,1949-10-25,0665
25906797685,BOSATT,Elegant,Elsykkel,KVINNE,1967-10-25,1366
25917695752,BOSATT,Svak,Fjellski,MANN,0000,0685
25918095341,BOSATT,Kry,Frostnatt,MANN,1980-11-25,4025
25929198347,BOSATT,Stille,Ørepropper,MANN,1991-12-25,3616
26812199659,BOSATT,Sterk,Tusenfryd,KVINNE,2021-01-26,1960
26852098057,FOEDSELSREGISTRERT,Formbar*Pike,Abakus,KVINNE,2020-05-26,None
26855195339,BOSATT,Varm,Vinterdress,MANN,1951-05-26,2005
26859897621,BOSATT,Innerste,Ütterkant,KVINNE,1998-05-26,0273
26871998077,BOSATT,Snasen,Teleskop,KVINNE,2019-07-26,9440
26872096379,BOSATT,Grå,Jordbruk,MANN,2020-07-26,5179
26884996707,BOSATT,Lykkelig,Invitasjon,MANN,1949-08-26,9023
27811898479,BOSATT,Sterk,Interesse,KVINNE,2018-01-27,4332
27812199345,BOSATT,Heit,Geografi,MANN,2021-01-27,1163
27812199698,BOSATT,Hullete,Gladiator,KVINNE,2021-01-27,2040
27812199779,BOSATT,Hardnakket,Hakke,MANN,2021-01-27,1430
27812199930,BOSATT,Forunderlig,Klokke,MANN,2021-01-27,1364
27842097474,BOSATT,Elektronisk,Dregg,KVINNE,2020-04-27,6628
27845396103,BOSATT,Rynkete,Slåbrokk,MANN,1953-04-27,2000
27862199486,BOSATT,Vassen*Pike,Abbor,KVINNE,2021-06-27,2270
27862199648,FOEDSELSREGISTRERT,Tranvende*Pike,Galakse,KVINNE,2021-06-27,None
27862199729,BOSATT,Jordnær*Gutt,Abbed,MANN,2021-06-27,0257
27862199990,FOEDSELSREGISTRERT,Elegant*Gutt,Gaselle,MANN,2021-06-27,None
27891197174,BOSATT,Ulydig,Avstand,MANN,2011-09-27,4336
27918097088,UTFLYTTET,Sprettent,Hoppeslott,KVINNE,1980-11-27,0665
28811898912,BOSATT,Snasen,Tusenfryd,MANN,2018-01-28,1960
28817597620,BOSATT,Fantastisk,Agurktid,KVINNE,1975-01-28,4025
29811898285,BOSATT,Hakkete,Hakke,KVINNE,2018-01-29,1430
29811898447,BOSATT,Heit,Klokke,KVINNE,2018-01-29,1364
29811898528,BOSATT,Sterk,Gladiator,MANN,2018-01-29,2040
29871998912,BOSATT,Hullete,Tusenfryd,MANN,2019-07-29,1960
29878195572,DOED,Hurtig,Rekord,MANN,1981-07-29,2618
29891997866,BOSATT,Sterk,Geografi,KVINNE,2019-09-29,1163
30811797762,BOSATT,Hullete,Geografi,MANN,2017-01-30,1163
30871998104,BOSATT,Snerpete,Hakke,MANN,2019-07-30,1430
30871998376,BOSATT,Tremulert,Klokke,MANN,2019-07-30,1364
30871998619,BOSATT,Forunderlig,Gladiator,KVINNE,2019-07-30,2040
31816197050,BOSATT,Rosa,Elefant,KVINNE,1961-01-31,2005
31818595312,BOSATT,Stram,Soldat,MANN,1985-01-31,2315
31835497227,BOSATT,Hvit,Vinduskarm,KVINNE,1954-03-31,2005
31839197872,BOSATT,Frisk,Blomst,KVINNE,1991-03-31,Ukjent
31851898142,BOSATT,Hardnakket,Geografi,MANN,2018-05-31,1163
41846200574,MIDLERTIDIG,Uinspirert,Tangent,MANN,1962-04-01,None
41846202747,MIDLERTIDIG,Kald,Nordavind,MANN,1962-04-01,None
41846501159,MIDLERTIDIG,Sped,Høyttaler,MANN,1965-04-01,None
41846600386,MIDLERTIDIG,Sliten,Fossekall,MANN,1966-04-01,None
41846700488,MIDLERTIDIG,Melankolsk,Ferie,KVINNE,1967-04-01,None
41846700801,MIDLERTIDIG,Elegant,Statist,KVINNE,1967-04-01,None
41846702308,MIDLERTIDIG,Kontrollert,Trikk,MANN,1967-04-01,None
41847000803,MIDLERTIDIG,Rusten,Flaggermus,KVINNE,1970-04-01,None
41847100581,MIDLERTIDIG,Vennlig,Kålrabi,MANN,1971-04-01,None
41847101537,MIDLERTIDIG,Fantasiløs,Assistent,MANN,1971-04-01,None
41847200683,MIDLERTIDIG,Innesluttet,Pali,KVINNE,1972-04-01,None
41847300785,MIDLERTIDIG,Upopulær,Ekornhale,MANN,1973-04-01,None
41847401166,MIDLERTIDIG,Oransje,Daddel,MANN,1974-04-01,None
41847500393,MIDLERTIDIG,Fiktiv,Hette,MANN,1975-04-01,None
41847500717,MIDLERTIDIG,Anstendig,Hjelp,MANN,1975-04-01,None
41847600495,MIDLERTIDIG,Pragmatisk,Hypotese,KVINNE,1976-04-01,None
41847602315,MIDLERTIDIG,Upresis,Skyvedør,MANN,1976-04-01,None
41847701542,MIDLERTIDIG,Ærlig,Mynt,MANN,1977-04-01,None
41847900286,MIDLERTIDIG,Ulik,Motordel,KVINNE,1979-04-01,None
41847900367,MIDLERTIDIG,Stabil,Fant,MANN,1979-04-01,None
41847900952,MIDLERTIDIG,Glovarm,Robåt,MANN,1979-04-01,None
41847901150,MIDLERTIDIG,Fiktiv,Adelsmann,MANN,1979-04-01,None
41848000165,MIDLERTIDIG,Tilfeldig,Gjørme,MANN,1980-04-01,None
41848000408,MIDLERTIDIG,Puslete,Kunsteventyr,KVINNE,1980-04-01,None
41848100186,MIDLERTIDIG,Kreativ,Kjæreste,MANN,1981-04-01,None
41848100771,MIDLERTIDIG,Solid,Befolkning,MANN,1981-04-01,None
41848200369,MIDLERTIDIG,Gretten,Konsekvens,MANN,1982-04-01,None
41848200954,MIDLERTIDIG,Uttrykksfull,Nattergal,MANN,1982-04-01,None
41848201152,MIDLERTIDIG,Ivrig,Gaupe,MANN,1982-04-01,None
41848201586,MIDLERTIDIG,Tentativ,Inntekt,MANN,1982-04-01,None
41848202108,MIDLERTIDIG,Inkluderende,Litteratur,MANN,1982-04-01,None
41848300460,MIDLERTIDIG,Smul,Hund,KVINNE,1983-04-01,None
41848301335,MIDLERTIDIG,Standhaftig,Domstol,MANN,1983-04-01,None
41848301769,MIDLERTIDIG,Musikalsk,Akvariefisk,MANN,1983-04-01,None
41848400562,MIDLERTIDIG,Personlig,Partikkel,MANN,1984-04-01,None
41848400643,MIDLERTIDIG,Fredfull,Brøkstrek,KVINNE,1984-04-01,None
41848400996,MIDLERTIDIG,Økonomisk,Blindveg,MANN,1984-04-01,None
41848401194,DOED,Evig,Oversikt,MANN,1984-04-01,None
41848401518,MIDLERTIDIG,Fordekt,Ask,MANN,1984-04-01,None
41848401941,MIDLERTIDIG,Oppklarende,Dessert,MANN,1984-04-01,None
41848402735,MIDLERTIDIG,Selvhjulpen,Epoke,MANN,1984-04-01,None
41848403367,MIDLERTIDIG,Lystig,Sandkasse,MANN,1984-04-01,None
41848500230,MIDLERTIDIG,Farlig,Naturressurs,KVINNE,1985-04-01,None
41848500311,MIDLERTIDIG,Konge,Karies,MANN,1985-04-01,None
41848500583,MIDLERTIDIG,Romantisk,Fruktbutikk,MANN,1985-04-01,None
41848500907,MIDLERTIDIG,Ung,Diesel,MANN,1985-04-01,None
41848501539,MIDLERTIDIG,Ulydig,Omtale,MANN,1985-04-01,None
41848501881,MIDLERTIDIG,Dedikert,Dam,KVINNE,1985-04-01,None
41848502403,MIDLERTIDIG,Analyserende,Appelsin,KVINNE,1985-04-01,None
41848502756,MIDLERTIDIG,Uselvisk,Blekk,MANN,1985-04-01,None
41848600170,MIDLERTIDIG,Kjærlig,Matte,MANN,1986-04-01,None
41848600413,MIDLERTIDIG,Spesifikk,Breiflabb,KVINNE,1986-04-01,None
41848600847,MIDLERTIDIG,Svimmel,Lunge,KVINNE,1986-04-01,None
41848601045,MIDLERTIDIG,Viljesterk,Iskrem,KVINNE,1986-04-01,None
41848601398,MIDLERTIDIG,Tøff,Målsetting,MANN,1986-04-01,None
41848700272,MIDLERTIDIG,Spennende,Ribbe,KVINNE,1987-04-01,None
41848700353,MIDLERTIDIG,Ulastelig,Advokat,MANN,1987-04-01,None
41848700949,MIDLERTIDIG,Viktig,Matematiker,MANN,1987-04-01,None
41848701570,MIDLERTIDIG,Viktig,Vurdering,MANN,1987-04-01,None
41848800293,MIDLERTIDIG,Ansvarsfull,Bokfink,KVINNE,1988-04-01,None
41848800536,MIDLERTIDIG,Usannferdig,Boble,MANN,1988-04-01,None
41848801168,MIDLERTIDIG,Impulsiv,Jord,MANN,1988-04-01,None
41848801915,MIDLERTIDIG,Håndlaget,Film,MANN,1988-04-01,None
41848802113,MIDLERTIDIG,Evig,Timeplan,MANN,1988-04-01,None
41848802385,MIDLERTIDIG,Eksplosiv,Søndag,MANN,1988-04-01,None
41848900395,MIDLERTIDIG,Fornuftig,Satellitt,MANN,1989-04-01,None
41848900476,MIDLERTIDIG,Hyggelig,Løvetann,KVINNE,1989-04-01,None
41848900719,DOED,Frisk,Bomull,MANN,1989-04-01,None
41849000274,MIDLERTIDIG,Rastløs,Person,KVINNE,1990-04-01,None
41849000355,MIDLERTIDIG,Moderne,Flyplass,MANN,1990-04-01,None
41849000940,MIDLERTIDIG,Legitim,Nettverkskabel,MANN,1990-04-01,None
41849001572,MIDLERTIDIG,Vårlig,Handlingsevne,MANN,1990-04-01,None
41849100295,MIDLERTIDIG,Sympatisk,Herre,KVINNE,1991-04-01,None
41849100619,MIDLERTIDIG,Lang,Faktor,KVINNE,1991-04-01,None
41849100961,MIDLERTIDIG,Velkommen,Hoppe,MANN,1991-04-01,None
41849200397,MIDLERTIDIG,Lett,Panjabi,MANN,1992-04-01,None
41849200478,MIDLERTIDIG,Standhaftig,Magesekk,KVINNE,1992-04-01,None
41849201261,MIDLERTIDIG,Sitrongul,Matematiker,KVINNE,1992-04-01,None
41849300308,MIDLERTIDIG,Alfabetisk,Ostehøvel,MANN,1993-04-01,None
41849301525,MIDLERTIDIG,Urolig,Galleri,MANN,1993-04-01,None
41849400248,MIDLERTIDIG,Halv,Delegasjon,KVINNE,1994-04-01,None
41849400329,MIDLERTIDIG,Omsorgsfull,Klem,MANN,1994-04-01,None
41849400590,MIDLERTIDIG,Taus,Komité,MANN,1994-04-01,None
41849400914,MIDLERTIDIG,Legitim,Svigersønn,MANN,1994-04-01,None
41849401112,MIDLERTIDIG,Rød,Kilometer,MANN,1994-04-01,None
41849500501,MIDLERTIDIG,Pragmatisk,Andakt,MANN,1995-04-01,None
41849600603,MIDLERTIDIG,Minimalistisk,Trenchcoat,KVINNE,1996-04-01,None
41849600875,MIDLERTIDIG,Funksjonell,Gorilla,KVINNE,1996-04-01,None
41849700381,MIDLERTIDIG,Kul,Leppe,MANN,1997-04-01,None
41849700462,MIDLERTIDIG,Pussig,Jordskorpe,KVINNE,1997-04-01,None
41849700705,MIDLERTIDIG,Trådløs,Variasjon,MANN,1997-04-01,None
41849900313,MIDLERTIDIG,Samarbeidsvillig,Olivenolje,MANN,1999-04-01,None
41850075075,MIDLERTIDIG,Bevisst,Diesel,KVINNE,2000-05-01,None
41850075156,MIDLERTIDIG,Ubestikkelig,Kakao,MANN,2000-05-01,None
41850075741,MIDLERTIDIG,Nonfigurativ,Jordskjelv,MANN,2000-05-01,None
41850275945,MIDLERTIDIG,Klok,Stjerne,MANN,2002-05-01,None
41851675009,MIDLERTIDIG,Rastløs,Barnestol,KVINNE,2016-05-01,None
41851775100,MIDLERTIDIG,Sart,Interesse,MANN,2017-05-01,None
41852200128,MIDLERTIDIG,Velkommen,Bagasje,MANN,1922-05-01,None
41853300177,MIDLERTIDIG,Evig,Vannmann,MANN,1933-05-01,None
41853600200,MIDLERTIDIG,Flink,Bevilling,KVINNE,1936-05-01,None
41853700140,MIDLERTIDIG,Lat,Karriere,MANN,1937-05-01,None
41854200184,MIDLERTIDIG,Lidenskapelig,Corner,MANN,1942-05-01,None
41854600743,MIDLERTIDIG,Rød,Gitarhals,MANN,1946-05-01,None
41854700926,MIDLERTIDIG,Uglesett,Oppvaskmaskin,MANN,1947-05-01,None
41855000251,MIDLERTIDIG,Styrbar,Krone,KVINNE,1950-05-01,None
41855100353,MIDLERTIDIG,Kald,Eggeplomme,MANN,1951-05-01,None
41855101309,MIDLERTIDIG,Urolig,Bomull,MANN,1951-05-01,None
41855300123,MIDLERTIDIG,Spennende,Form,MANN,1953-05-01,None
41855301340,MIDLERTIDIG,Rask,Kornsirkel,MANN,1953-05-01,None
41855500327,MIDLERTIDIG,Voksende,Akvariefisk,MANN,1955-05-01,None
41855501544,MIDLERTIDIG,Analyserende,Infeksjon,MANN,1955-05-01,None
41855600771,MIDLERTIDIG,Offisiell,Skive,MANN,1956-05-01,None
41855601999,MIDLERTIDIG,Stridlynt,Dynamo,MANN,1956-05-01,None
41855801769,MIDLERTIDIG,Flat,Ask,MANN,1958-05-01,None
41855900139,MIDLERTIDIG,Overfladisk,Sky,MANN,1959-05-01,None
41855900481,MIDLERTIDIG,Rund,Aktualitet,KVINNE,1959-05-01,None
41856000360,MIDLERTIDIG,Justerbar,Søndag,MANN,1960-05-01,None
41856001316,MIDLERTIDIG,Gylden,Fødselsdag,MANN,1960-05-01,None
42878901007,MIDLERTIDIG,Rånete,Valke,KVINNE,1989-07-02,None
43866202371,MIDLERTIDIG,Etterlengtet,Trykkoker,MANN,1962-06-03,None
46827201049,MIDLERTIDIG,Kreativ,Abakus,KVINNE,1972-02-06,None
46858101611,MIDLERTIDIG,Hjemmestrikket,Ullsokk,KVINNE,1981-05-06,None
47849600113,MIDLERTIDIG,Myk,Slikkepott,MANN,1996-04-07,None
47869301791,MIDLERTIDIG,Sprudlende,Vannflaske,MANN,1993-06-07,None
47929402150,MIDLERTIDIG,Myk,Morgenkåpe,MANN,1994-12-07,None
48819601057,MIDLERTIDIG,Flittig,Malekost,KVINNE,1996-01-08,None
49925900876,MIDLERTIDIG,Trangt,Høyskap,KVINNE,1959-12-09,None
51921975515,MIDLERTIDIG,Heit,Musmatte,MANN,2019-12-11,None
51921975787,MIDLERTIDIG,Snasen,Musmatte,MANN,2019-12-11,None
52925600679,MIDLERTIDIG,Sukker,Topp,KVINNE,1956-12-12,None
54825900813,MIDLERTIDIG,Grønt,Hurtigtog,KVINNE,1959-02-14,None
54879600742,MIDLERTIDIG,Artig,Vannslange,MANN,1996-07-14,None
54917401465,MIDLERTIDIG,Nymalt,Kjøkkenbenk,KVINNE,1974-11-14,None
54918102305,MIDLERTIDIG,Grå,Høyblokk,MANN,1981-11-14,None
55859101096,DOED,Rund,Presang,KVINNE,1991-05-15,None
