hovedperson,ektefelleEllerPartner,sivilstand,erGjeldende,sivilstandsdato,myndighet
24815297403,21835295475,SEPARERT_PARTNER,False,2021-06-21,DOMSTOLEN
24858997565,14119300000,GIFT,True,2016-04-27,None
24865196578,27845396103,SEPARERT_PARTNER,False,2010-03-01,None
24865196578,27845396103,SKILT_PARTNER,True,2021-06-20,STATSFORVALTEREN
24865395554,None,REGISTRERT_PARTNER,True,1995-11-17,None
24865896766,None,REGISTRERT_PARTNER,True,1988-02-07,None
24878996328,None,GIFT,False,None,None
24896795526,57916900211,GIFT,True,2021-07-13,DEN_NORSKE_KIRKE
25906797685,24036500000,GIFT,True,1998-09-17,None
25917695752,02858897443,GIFT,True,2021-04-16,DEN_NORSKE_KIRKE
26855195339,None,REGISTRERT_PARTNER,True,1988-02-07,None
26884996707,None,SKILT_PARTNER,True,2018-01-27,None
27845396103,24865196578,SEPARERT_PARTNER,False,2010-03-01,None
27845396103,24865196578,SKILT_PARTNER,True,2021-06-20,STATSFORVALTEREN
31835497227,None,REGISTRERT_PARTNER,True,1989-04-09,None
41846202747,None,GIFT,True,None,None
41846600386,None,GIFT,True,None,None
41846700801,None,GIFT,True,None,None
41847000803,None,GIFT,True,None,None
41847100581,None,GIFT,True,None,None
41847101537,None,GIFT,True,None,None
41847200683,None,GIFT,True,None,None
41847500393,None,GIFT,True,None,None
41847500717,None,GIFT,True,None,None
41847600495,None,GIFT,True,None,None
41847602315,None,GIFT,True,None,None
41847701542,None,GIFT,True,None,None
41847900286,None,GIFT,True,None,None
41847900367,None,GIFT,True,None,None
41847900952,None,GIFT,True,None,None
41847901150,None,GIFT,True,None,None
41848000165,None,GIFT,True,None,None
41848000408,None,GIFT,True,None,None
41848100186,None,GIFT,True,None,None
41848100771,None,GIFT,True,None,None
41848200954,None,GIFT,True,None,None
41848201152,None,UOPPGITT,True,1982-04-01,None
41848201586,None,GIFT,True,None,None
41848301335,None,GIFT,True,None,None
41848301769,None,GIFT,True,None,None
41848400996,None,GIFT,True,None,None
41848401194,None,GIFT,True,None,None
41848401518,None,GIFT,True,None,None
41848401941,None,GIFT,True,None,None
41848402735,None,GIFT,True,None,None
41848500230,None,GIFT,True,None,None
41848500311,None,GIFT,True,None,None
41848500583,None,GIFT,True,None,None
41848500907,None,GIFT,True,None,None
41848501539,None,GIFT,True,None,None
41848501881,None,GIFT,True,None,None
41848502403,None,GIFT,True,None,None
41848502756,None,GIFT,True,None,None
41848600413,None,GIFT,True,None,None
41848600847,None,GIFT,True,None,None
41848601045,None,GIFT,True,None,None
41848601398,None,GIFT,True,None,None
41848700272,None,GIFT,True,None,None
41848700353,None,GIFT,True,None,None
41848700949,None,GIFT,True,None,None
41848701570,None,GIFT,True,None,None
41848800293,None,GIFT,True,None,None
41848800536,None,GIFT,True,None,None
41848802113,None,GIFT,True,None,None
41848802385,None,GIFT,True,None,None
41848900395,None,GIFT,True,None,None
41848900476,None,GIFT,True,None,None
41848900719,None,GIFT,True,None,None
41849000274,None,GIFT,True,None,None
41849000355,None,GIFT,True,None,None
41849000940,None,GIFT,True,None,None
41849001572,None,GIFT,True,None,None
41849100295,None,UOPPGITT,True,1991-04-01,None
41849100619,None,GIFT,True,None,None
41849100961,None,GIFT,True,None,None
41849200397,None,GIFT,True,None,None
41849200478,None,GIFT,True,None,None
41849201261,None,GIFT,True,None,None
41849300308,None,GIFT,True,None,None
41849301525,None,GIFT,True,None,None
41849400248,None,GIFT,True,None,None
41849400329,None,GIFT,True,None,None
41849400590,None,GIFT,True,None,None
41849400914,None,GIFT,True,None,None
41849401112,None,GIFT,True,None,None
41849500501,None,GIFT,True,None,None
41849600603,None,GIFT,True,None,None
41849600875,None,GIFT,True,None,None
41849700381,None,GIFT,True,None,None
41849700462,None,GIFT,True,None,None
41849700705,None,GIFT,True,None,None
41849900313,None,GIFT,True,None,None
41850075075,None,GIFT,True,None,None
41850075156,None,GIFT,True,None,None
41850075741,None,GIFT,True,None,None
41850275945,None,GIFT,True,None,None
41851675009,None,GIFT,True,None,None
41851775100,None,GIFT,True,None,None
41853600200,None,UOPPGITT,True,1936-05-01,None
41853700140,None,GIFT,True,None,None
41855000251,None,GIFT,True,None,None
41855100353,None,GIFT,True,None,None
41855301340,None,GIFT,True,None,None
41855501544,None,GIFT,True,None,None
41855801769,None,GIFT,True,None,None
41856000360,None,GIFT,True,None,None
42878901007,12128700000,GIFT,True,2021-05-09,DEN_NORSKE_KIRKE
43866202371,None,UOPPGITT,True,2021-07-13,None
46827201049,None,GIFT,True,None,None
46858101611,None,UOPPGITT,True,2021-07-13,None
47849600113,None,UOPPGITT,True,2021-07-13,None
47869301791,None,UOPPGITT,True,2021-07-13,None
47929402150,None,UOPPGITT,True,2021-07-13,None
48819601057,None,UOPPGITT,True,2021-07-13,None
49925900876,None,UOPPGITT,True,2021-07-13,None
52925600679,None,UOPPGITT,True,2021-05-10,None
54825900813,None,UOPPGITT,True,2021-05-10,None
54879600742,None,UOPPGITT,True,2021-07-13,None
54917401465,None,UOPPGITT,True,2021-07-13,None
54918102305,18878298469,GIFT,True,2021-07-12,UTENRIKSTJENESTEN
55859101096,None,UOPPGITT,True,2021-06-16,None
57916900211,24896795526,GIFT,True,2021-07-13,DEN_NORSKE_KIRKE
57917701263,None,UOPPGITT,True,2021-06-16,None
57918001184,None,UOPPGITT,True,2021-05-10,None
64887100843,None,UOPPGITT,True,2021-07-13,None
65886902136,None,UOPPGITT,True,2021-06-16,None
67845100753,None,UOPPGITT,True,2021-06-16,None
01828698377,20908797060,GIFT,True,2016-08-06,None
01829397478,30849597473,GIFT,True,2021-04-15,DEN_NORSKE_KIRKE
01836696804,10906993134,GIFT,True,2019-07-03,None
01836897125,30866697813,GIFT,True,1989-04-27,None
01889496130,17839497202,GIFT,True,2017-03-09,None
02858598799,05868598443,GIFT,True,2008-01-19,None
03899698656,10919899897,GIFT,True,2021-02-27,DEN_NORSKE_KIRKE
04878399256,10888297249,GIFT,True,2005-10-24,None
04888099293,24817898501,GIFT,True,2004-03-05,None
05868598443,02858598799,GIFT,True,2008-01-19,None
05908699418,26897196149,GIFT,True,2017-04-06,None
06918898261,22818899193,GIFT,True,2015-12-04,None
08925597903,20905599055,GIFT,True,2002-03-22,None
09884397631,24835498561,SKILT,True,2019-05-04,None
09884397631,24835498561,SEPARERT,False,2018-05-03,None
09884397631,24835498561,GIFT,False,2017-07-12,None
09903748394,27863948482,GIFT,True,1970-02-20,None
10919899897,03899698656,GIFT,True,2021-02-27,DEN_NORSKE_KIRKE
11824099547,27903249671,SKILT,True,2019-08-16,None
11824099547,27903249671,SEPARERT,False,2018-08-07,None
11824099547,27903249671,GIFT,False,2017-07-11,None
11858297550,05928598693,GIFT,True,2009-10-21,None
11888399714,15878599893,GIFT,True,2017-07-04,None
11895197353,06895297036,ENKE_ELLER_ENKEMANN,True,2021-06-04,None
11895197353,06895297036,GIFT,False,1999-03-21,None
11899498374,17929598660,GIFT,True,2015-10-28,None
11901649199,22921848831,GIFT,True,1964-06-16,None
11919999685,12919199405,GIFT,True,2021-04-01,DEN_NORSKE_KIRKE
12878197559,17898198227,GIFT,True,2019-03-14,None
12918398544,22928298675,GIFT,True,2014-01-29,None
12919199405,11919999685,GIFT,True,2021-04-01,DEN_NORSKE_KIRKE
13840099673,23889697652,GIFT,True,2021-05-01,DEN_NORSKE_KIRKE
13868199428,15858298390,GIFT,True,2010-11-20,None
14839499710,26909199947,GIFT,True,2021-04-01,DEN_NORSKE_KIRKE
15827898489,09928098564,GIFT,True,2001-05-22,None
15849399990,17829698986,GIFT,True,2021-04-15,DEN_NORSKE_KIRKE
15858298390,13868199428,GIFT,True,2010-11-20,None
15878599893,11888399714,GIFT,True,2017-07-04,None
16839896887,25849697822,GIFT,True,2019-05-01,DEN_NORSKE_KIRKE
17829698986,15849399990,GIFT,True,2021-04-15,DEN_NORSKE_KIRKE
17839497202,01889496130,GIFT,True,2017-03-09,None
17898198227,12878197559,GIFT,True,2019-03-14,None
17929598660,11899498374,GIFT,True,2015-10-28,None
18869298901,24859599288,GIFT,True,2018-06-22,None
20905599055,08925597903,GIFT,True,2002-03-22,None
20908797060,01828698377,GIFT,True,2016-08-06,None
21888599484,22898599918,GIFT,True,2014-07-28,None
21924596403,26904598339,GIFT,True,1996-05-10,None
22898599918,21888599484,GIFT,True,2014-07-28,None
22921848831,11901649199,GIFT,True,1964-06-16,None
22928298675,12918398544,GIFT,True,2014-01-29,None
23858099811,12077900000,GIFT,True,2021-05-04,DEN_NORSKE_KIRKE
23868898127,26879097664,GIFT,True,2015-11-14,None
23889697652,13840099673,GIFT,True,2021-05-01,DEN_NORSKE_KIRKE
23907097013,03847192703,GIFT,True,2000-06-30,None
24835498561,09884397631,SKILT,True,2019-05-04,None
24835498561,09884397631,SEPARERT,False,2018-05-03,None
24835498561,09884397631,GIFT,False,2017-07-12,None
24859599288,18869298901,GIFT,True,2018-06-22,None
24869797894,28909798894,GIFT,True,2021-05-01,DEN_NORSKE_KIRKE
26897196149,05908699418,GIFT,True,2017-04-06,None
26904598339,21924596403,GIFT,True,1996-05-10,None
26909199947,14839499710,GIFT,True,2021-04-01,DEN_NORSKE_KIRKE
27863948482,09903748394,GIFT,True,1970-02-20,None
27864897296,05844896907,GIFT,True,2009-03-11,None
27903249671,11824099547,SKILT,True,2019-08-16,None
27903249671,11824099547,SEPARERT,False,2018-08-07,None
27903249671,11824099547,GIFT,False,2017-07-11,None
28909798894,24869797894,ENKE_ELLER_ENKEMANN,True,2021-06-05,None
28909798894,24869797894,GIFT,False,2021-05-01,DEN_NORSKE_KIRKE
30849597473,01829397478,GIFT,True,2021-04-15,DEN_NORSKE_KIRKE
01810849688,17830949755,GIFT,True,1990-02-03,None
01820649393,25890749685,GIFT,True,1939-11-05,None
01836499405,21896197190,GIFT,True,1985-12-12,None
01843748070,13913744904,GIFT,True,1958-02-13,None
01844697712,12874897068,GIFT,True,1984-12-27,None
01862349438,29902249379,GIFT,True,1982-08-02,None
01880549584,04810449883,GIFT,True,1954-10-15,None
01885399688,08845198765,GIFT,True,1988-01-27,None
01906799436,03816697777,GIFT,True,2005-01-17,None
01926295914,19826596271,GIFT,True,2002-09-11,None
01926896047,30856795752,GIFT,True,1993-07-11,None
01927399128,25897397288,GIFT,True,2019-04-13,None
02855897620,09855797744,GIFT,True,1997-04-28,None
02897096806,05827097324,GIFT,True,2017-05-14,None
03816697777,01906799436,GIFT,True,2005-01-17,None
03817197700,30867499659,GIFT,True,1994-12-04,None
03846498175,25866599060,GIFT,True,2008-04-05,None
03900149769,05860149224,GIFT,True,2003-02-10,None
03907298069,04817299348,GIFT,True,2004-09-24,None
03915998533,25875698411,GIFT,True,1992-07-18,None
04810449883,01880549584,GIFT,True,1954-10-15,None
04816297813,05836396555,GIFT,True,1986-08-10,None
04817299348,03907298069,GIFT,True,2004-09-24,None
04835097914,25854997249,GIFT,True,1997-10-21,None
04844696936,30914996852,GIFT,True,1997-12-18,None
04844797740,24854898406,GIFT,True,1973-01-25,None
04904698844,25925098585,GIFT,True,1991-11-04,None
04915198606,21885297193,GIFT,True,1984-04-09,None
05826198100,18816397851,GIFT,True,2013-11-13,None
05827097324,02897096806,GIFT,True,2017-05-14,None
05836396555,04816297813,GIFT,True,1986-08-10,None
05844896907,27864897296,GIFT,True,2009-03-11,None
05857097485,13876698743,GIFT,True,2011-06-24,None
05860149224,03900149769,GIFT,True,2003-02-10,None
05904198465,16914496326,GIFT,True,1984-07-10,None
05917397092,12817197157,GIFT,True,2019-09-18,None
05922649687,25873048940,GIFT,True,2018-05-08,None
05925198392,30875398616,GIFT,True,1976-10-25,None
05928598693,11858297550,GIFT,True,2009-10-21,None
07832049187,29921849093,GIFT,True,2006-11-29,None
07875097568,13914898484,GIFT,True,1976-06-19,None
07887095412,28887096106,GIFT,True,2008-03-31,None
07914698760,22814697057,GIFT,True,1971-07-27,None
08841349130,16821547265,GIFT,True,1962-02-02,None
08845198765,01885399688,GIFT,True,1988-01-27,None
08845599875,16835598318,GIFT,True,2006-01-08,None
08855297044,14905396960,GIFT,True,1983-11-08,None
08905896335,29885697826,GIFT,True,2001-03-14,None
09855797744,02855897620,GIFT,True,1997-04-28,None
09875697894,10885698536,GIFT,True,1979-03-02,None
09886397698,24906595350,GIFT,True,1996-07-24,None
09928098564,15827898489,GIFT,True,2001-05-22,None
10866198328,11866198871,GIFT,True,1991-12-28,None
10867196426,13867396122,GIFT,True,2002-05-30,None
10885698536,09875697894,GIFT,True,1979-03-02,None
10906993134,01836696804,GIFT,True,2019-07-03,None
11815098872,15864998566,GIFT,True,1982-07-21,None
11866198871,10866198328,GIFT,True,1991-12-28,None
11917098443,21906998383,GIFT,True,2007-08-03,None
12817197157,05917397092,GIFT,True,2019-09-18,None
12846896412,16917096337,GIFT,True,2009-02-27,None
12866597748,30896499862,GIFT,True,2011-01-03,None
12874897068,01844697712,GIFT,True,1984-12-27,None
12895898617,28905696779,GIFT,True,2016-03-04,None
12919398149,17829397897,GIFT,True,2017-09-28,None
12925798604,24856096323,GIFT,True,2007-08-18,None
13816996745,30857097099,GIFT,True,2017-12-12,None
13867396122,10867196426,GIFT,True,2002-05-30,None
13876698743,05857097485,GIFT,True,2011-06-24,None
13913744904,01843748070,GIFT,True,1958-02-13,None
13914898484,07875097568,GIFT,True,1976-06-19,None
14833847024,16913749131,GIFT,True,1987-09-24,None
14840448445,27830349125,GIFT,True,1933-05-06,None
14847096552,24856897407,GIFT,True,2017-07-29,None
14855998050,22865797994,GIFT,True,2005-08-23,None
14867397036,19877495364,GIFT,True,2001-11-04,None
14905396960,08855297044,GIFT,True,1983-11-08,None
14921749369,16862048486,GIFT,True,1951-12-06,None
14924897539,27904698046,GIFT,True,1993-01-19,None
14925297632,07845497561,GIFT,True,1975-07-17,None
15817196532,13917195638,GIFT,True,2018-01-22,None
15864998566,11815098872,GIFT,True,1982-07-21,None
15875898059,30916098509,GIFT,True,1991-07-21,None
16821547265,08841349130,GIFT,True,1962-02-02,None
16835598318,08845599875,GIFT,True,2006-01-08,None
16862048486,14921749369,GIFT,True,1951-12-06,None
16866097961,29845897474,GIFT,True,2019-02-23,None
16913749131,14833847024,GIFT,True,1987-09-24,None
16914496326,05904198465,GIFT,True,1984-07-10,None
16917096337,12846896412,GIFT,True,2009-02-27,None
17830949755,01810849688,GIFT,True,1990-02-03,None
17897598515,25867398263,GIFT,True,2014-05-30,None
17927396661,19887197302,GIFT,True,2016-03-30,None
18816397851,05826198100,GIFT,True,2013-11-13,None
18846498121,27916499278,GIFT,True,2017-04-01,None
18865698891,18895897767,GIFT,True,2012-04-05,None
18895897767,18865698891,GIFT,True,2012-04-05,None
18906797026,23917096139,GIFT,True,2001-11-06,None
19824599281,20824397369,GIFT,True,1979-04-10,None
19826596271,01926295914,GIFT,True,2002-09-11,None
19864298071,31874498990,GIFT,True,1987-04-23,None
19888599153,27818299082,GIFT,True,2008-01-07,None
19904198563,24924297251,GIFT,True,1970-04-24,None
19915399811,29915198552,GIFT,True,2007-12-08,None
20824397369,19824599281,GIFT,True,1979-04-10,None
20828398084,14858597782,GIFT,True,2016-07-26,None
20871648671,28821748544,GIFT,True,1982-09-19,None
20876798809,23886697325,GIFT,True,1999-08-28,None
20917196819,28897296723,GIFT,True,2018-05-23,None
21815497357,25835597647,GIFT,True,2018-12-17,None
21815598838,28925497187,GIFT,True,2016-11-07,None
21885297193,04915198606,GIFT,True,1984-04-09,None
21887399171,22917499806,GIFT,True,2019-06-19,None
21896197190,01836499405,GIFT,True,1985-12-12,None
21906998383,11917098443,GIFT,True,2007-08-03,None
21927697898,30927696955,GIFT,True,2004-04-26,None
22814697057,07914698760,GIFT,True,1971-07-27,None
22818899193,06918898261,GIFT,True,2015-12-04,None
22865797994,14855998050,GIFT,True,2005-08-23,None
22917499806,21887399171,GIFT,True,2019-06-19,None
23886697325,20876798809,GIFT,True,1999-08-28,None
23917096139,18906797026,GIFT,True,2001-11-06,None
24817898501,04888099293,GIFT,True,2004-03-05,None
24854898406,04844797740,GIFT,True,1973-01-25,None
24856096323,12925798604,GIFT,True,2007-08-18,None
24856897407,14847096552,GIFT,True,2017-07-29,None
24905699012,25875896523,GIFT,True,2004-04-11,None
24906595350,09886397698,GIFT,True,1996-07-24,None
24924297251,19904198563,GIFT,True,1970-04-24,None
25849697822,16839896887,GIFT,True,2019-05-01,DEN_NORSKE_KIRKE
25854997249,04835097914,GIFT,True,1997-10-21,None
25866599060,03846498175,GIFT,True,2008-04-05,None
25867398263,17897598515,GIFT,True,2014-05-30,None
25873048940,05922649687,GIFT,True,2018-05-08,None
25875698411,03915998533,GIFT,True,1992-07-18,None
25875896523,24905699012,GIFT,True,2004-04-11,None
25890749685,01820649393,GIFT,True,1939-11-05,None
25925098585,04904698844,GIFT,True,1991-11-04,None
26879097664,23868898127,GIFT,True,2015-11-14,None
26917795621,24927695975,GIFT,True,2001-01-08,None
26922547717,28862448822,GIFT,True,1952-08-22,None
27818299082,19888599153,GIFT,True,2008-01-07,None
27830349125,14840448445,GIFT,True,1933-05-06,None
27904698046,14924897539,GIFT,True,1993-01-19,None
27916499278,18846498121,GIFT,True,2017-04-01,None
28821748544,20871648671,GIFT,True,1982-09-19,None
28837397830,04827296371,GIFT,True,2010-04-13,None
28862448822,26922547717,GIFT,True,1952-08-22,None
28887096106,07887095412,GIFT,True,2008-03-31,None
28905696779,12895898617,GIFT,True,2016-03-04,None
28925497187,21815598838,GIFT,True,2016-11-07,None
29845897474,16866097961,GIFT,True,2019-02-23,None
29885697826,08905896335,GIFT,True,2001-03-14,None
29895698286,31876096962,GIFT,True,2012-10-01,None
29902249379,01862349438,GIFT,True,1982-08-02,None
29915198552,19915399811,GIFT,True,2007-12-08,None
29921849093,07832049187,GIFT,True,2006-11-29,None
30816794737,31816795489,GIFT,True,2001-05-22,None
30856795752,01926896047,GIFT,True,1993-07-11,None
30857097099,13816996745,GIFT,True,2017-12-12,None
30866697813,01836897125,GIFT,True,1989-04-27,None
30867499659,03817197700,GIFT,True,1994-12-04,None
30875398616,05925198392,GIFT,True,1976-10-25,None
30896499862,12866597748,GIFT,True,2011-01-03,None
30916098509,15875898059,GIFT,True,1991-07-21,None
30918398437,06888298329,ENKE_ELLER_ENKEMANN,True,2021-02-21,None
30918398437,06888298329,GIFT,False,2011-06-12,None
30927696955,21927697898,GIFT,True,2004-04-26,None
31816795489,30816794737,GIFT,True,2001-05-22,None
31874498990,19864298071,GIFT,True,1987-04-23,None
31876096962,29895698286,GIFT,True,2012-10-01,None
01812647268,29872949397,GIFT,True,2016-05-31,None
01823449255,22873249335,GIFT,True,1963-08-05,None
01824898215,19854797797,GIFT,True,1978-04-11,None
01841949788,25821649814,GIFT,True,2005-04-07,None
01854298441,18894197974,GIFT,True,2013-01-25,None
01861948540,11872048229,GIFT,True,2014-11-26,None
01872849250,21813049586,SEPARERT,True,2021-11-14,STATSFORVALTEREN
01872849250,21813049586,GIFT,False,2021-11-10,DEN_NORSKE_KIRKE
01873549226,28873348749,GIFT,True,1997-01-10,None
01903349111,23913149866,GIFT,True,2000-02-07,None
01908799735,28838899864,GIFT,True,2015-05-08,None
01912248964,17832149098,GIFT,True,1958-06-23,None
01922849672,07812648742,GIFT,True,2007-05-22,None
02821649512,27871949471,GIFT,True,1980-05-25,None
02857297833,02887598307,GIFT,True,2016-01-18,None
02882749420,11902649974,GIFT,True,1985-10-10,None
02898698699,21919098128,GIFT,True,2015-04-19,None
02912449648,18882349957,GIFT,True,2004-01-10,None
02913049783,14822649832,GIFT,True,2003-06-28,None
02913049945,23813049635,GIFT,True,1961-09-04,None
02913148234,05853349331,GIFT,True,1988-12-20,None
03815698451,17905796518,GIFT,True,1987-03-21,None
03838098400,08827697932,GIFT,True,2009-07-07,None
03852649630,06812949711,GIFT,True,1979-11-09,None
03869498563,04869398239,GIFT,True,2013-10-20,None
03901748070,11881848157,GIFT,True,1967-03-05,None
03912847488,06922849305,GIFT,True,1968-09-11,None
03912849065,19852949336,GIFT,True,2014-04-10,None
03912949833,20922849928,GIFT,True,1973-08-28,None
03923749739,12823949845,GIFT,True,2007-03-18,None
03924997035,04904897316,GIFT,True,2013-09-03,None
04813049894,14913049722,GIFT,True,2004-06-30,None
04818198480,08908398336,GIFT,True,2003-05-26,None
04822649357,27832848625,GIFT,True,1957-04-14,None
04822949229,15912649153,GIFT,True,1994-11-15,None
04827296371,28837397830,GIFT,True,2010-04-13,None
04828899290,17908899156,GIFT,True,2013-07-28,None
04862349607,20922149306,GIFT,True,1979-06-25,None
04863148648,21883348513,GIFT,True,1954-09-18,None
04884198408,15834397525,GIFT,True,1962-11-30,None
04897097759,04837096672,GIFT,True,2011-07-27,None
05820949392,08820948425,ENKE_ELLER_ENKEMANN,True,2021-09-24,None
05820949392,08820948425,GIFT,False,2008-05-23,None
05827898246,02917697704,GIFT,True,2000-10-03,None
05828999674,20818899549,GIFT,True,2008-10-25,None
05831648998,16891849420,GIFT,True,1941-11-30,None
05833449615,07853549775,GIFT,True,1995-12-09,None
05852448530,23872348816,GIFT,True,1955-03-03,None
05853349331,02913148234,GIFT,True,1988-12-20,None
05873149894,19893349319,GIFT,True,2016-06-18,None
05873949246,06863749334,GIFT,True,2011-02-01,None
05878198036,02878498324,GIFT,True,2004-02-04,None
05878497114,18908397866,GIFT,True,2012-08-18,None
05881749671,25901749399,GIFT,True,2007-08-29,None
05885897446,10855896597,GIFT,True,2015-03-31,None
05893548973,19923549016,GIFT,True,1991-07-14,None
05923648730,15833948625,GIFT,True,1992-07-04,None
06812949711,03852649630,GIFT,True,1979-11-09,None
06832348811,06922448548,GIFT,True,1964-08-07,None
06857497579,27897198008,GIFT,True,2002-02-11,None
06863749334,05873949246,GIFT,True,2011-02-01,None
06873248546,23853248843,GIFT,True,2015-04-11,None
06882248184,19872547846,GIFT,True,1999-12-12,None
06888298329,30918398437,GIFT,True,2011-06-12,None
06899199977,08899499817,GIFT,True,2013-10-09,None
06903749413,08853848388,GIFT,True,1999-07-12,None
06903949021,11924098106,GIFT,True,2001-01-11,None
06919097882,04898697792,GIFT,True,2011-08-31,None
06919099621,09878899730,GIFT,True,2016-08-24,None
06920648876,19890849329,GIFT,True,1963-08-09,None
06922448548,06832348811,GIFT,True,1964-08-07,None
06922849305,03912847488,GIFT,True,1968-09-11,None
06924198646,10924397921,GIFT,True,2018-06-23,None
06929399089,03899398199,GIFT,True,2018-05-19,None
07812648742,01922849672,GIFT,True,2007-05-22,None
07823449008,12823247999,SEPARERT,True,2021-11-17,STATSFORVALTEREN
07823449008,12823247999,GIFT,False,2021-10-27,DEN_NORSKE_KIRKE
07832848411,26923049338,GIFT,True,2005-04-24,None
07845497561,14925297632,GIFT,True,1975-07-17,None
07849499585,22909299245,GIFT,True,2015-07-12,None
07853549775,05833449615,GIFT,True,1995-12-09,None
07861248962,19891448832,GIFT,True,1946-06-30,None
07863649948,27833849870,GIFT,True,1962-01-30,None
07884099107,15913749607,GIFT,True,1979-08-08,None
07897497578,07847296601,GIFT,True,2001-04-08,None
07901148516,22871349219,GIFT,True,1984-04-04,None
07908899185,19929098210,GIFT,True,2013-01-03,None
07911649475,15841949967,GIFT,True,1976-04-26,None
07917396439,13907297750,GIFT,True,2003-06-17,None
08815397186,09855196279,GIFT,True,1998-04-18,None
08820948425,05820949392,GIFT,True,2008-05-23,None
08832348032,17882248194,GIFT,True,1943-05-29,None
08833747402,22853948326,GIFT,True,1970-03-13,None
08851749366,14821948801,GIFT,True,1965-11-10,None
08853848388,06903749413,GIFT,True,1999-07-12,None
08871849367,24882049686,GIFT,True,1973-12-13,None
08872549847,25872249748,GIFT,True,1949-10-17,None
08874297268,21854298140,GIFT,True,1973-10-09,None
08887198781,14837195609,GIFT,True,2012-08-03,None
08913949413,28894098122,GIFT,True,1977-04-29,None
08924098784,22874099698,GIFT,True,1990-02-14,None
08925298159,01825499063,GIFT,True,2008-03-16,None
09811949962,15851949876,GIFT,True,2003-08-05,None
09822349037,15822248923,GIFT,True,1952-04-07,None
09825297275,17915297730,GIFT,True,2000-06-05,None
09826698656,10846797136,GIFT,True,2009-01-22,None
09830547859,10920348799,GIFT,True,1958-03-16,None
09842949960,10863049607,GIFT,True,1966-07-10,None
09855196279,08815397186,GIFT,True,1998-04-18,None
09862749313,13823049654,GIFT,True,1963-10-29,None
