fnummer1,fnummer2,fnummer1_rolle,ergjeldende,gyldighetsdato
07817898062,08827797953,EKTEFELLE_ELLER_PARTNER,True,2021-04-16
07829097359,03831298293,FAR,True,2021-03-03
07829097359,03928597821,EKTEFELLE_ELLER_PARTNER,True,2021-03-03
07841497982,15818896082,BARN,True,2020-12-01
07841497982,10908498769,BARN,True,2020-12-01
07852098559,13868199428,BARN,True,2020-05-07
07852098559,15858298390,BARN,True,2020-05-07
08820597924,12878197559,BARN,True,2021-02-10
08820597924,17898198227,BARN,True,2021-02-10
08827797953,12881698844,FAR,True,2021-04-16
08827797953,21810997300,FAR,True,2021-04-16
08827797953,07817898062,EKTEFELLE_ELLER_PARTNER,True,2021-04-16
08852199998,28869998828,BARN,True,2021-05-11
08852199998,14900099852,BARN,True,2021-05-08
08881196388,05918298217,BARN,True,2020-12-01
08881196388,11929196319,BARN,True,2020-12-01
08900797339,12878197559,BARN,True,2021-02-10
08900797339,17898198227,BARN,True,2021-02-10
09852199684,None,BARN,True,2021-05-09
09852199684,23858099811,BARN,True,2021-05-09
09852199846,12850198428,BARN,True,2021-05-09
09860698061,12878197559,BARN,True,2021-02-10
09860698061,17898198227,BARN,True,2021-02-10
09865298029,17885398022,EKTEFELLE_ELLER_PARTNER,False,2021-06-21
09872098779,24859599288,BARN,True,2020-07-09
09872098779,18869298901,BARN,True,2020-07-09
09896196429,05856298010,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
09919094319,14811998088,FAR,True,2021-06-10
10852199976,None,BARN,True,2021-05-10
10888297249,20905599055,BARN,True,1982-08-10
10888297249,08925597903,BARN,True,1982-08-10
10888297249,04878399256,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
10908498769,05821196401,FAR,True,2020-12-01
10908498769,07841497982,FAR,True,2020-12-01
10908498769,15818896082,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
11820197897,11858297550,BARN,True,2021-02-10
11820197897,27864897296,BARN,True,2021-02-10
11820198176,12878197559,BARN,True,2021-02-10
11820198176,17898198227,BARN,True,2021-02-10
11820198338,26897196149,BARN,True,2021-02-10
11820198338,05908699418,BARN,True,2021-02-10
11871198235,02818397650,BARN,True,2021-01-20
11871198235,12828898742,BARN,True,2021-01-20
11900397544,17898198227,BARN,True,2021-02-10
11900397544,12878197559,BARN,True,2021-02-10
11929196319,08881196388,FAR,True,2020-12-01
11929196319,16821497349,FAR,True,2020-12-01
11929196319,05918298217,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
12812199631,01836897125,BARN,True,2021-01-26
12812199631,01836696804,BARN,True,2021-01-26
12828898742,02890696905,FAR,True,2021-01-20
12828898742,11871198235,FAR,True,2021-01-20
12828898742,02818397650,EKTEFELLE_ELLER_PARTNER,True,2021-01-20
12852199863,17829698986,BARN,True,2021-05-25
12852199863,15849399990,BARN,True,2021-05-25
12860296347,26897196149,BARN,True,2021-02-10
12860296347,05908699418,BARN,True,2021-02-10
12860296851,12878197559,BARN,True,2021-02-10
12860296851,17898198227,BARN,True,2021-02-10
12860297211,11858297550,BARN,True,2021-02-10
12860297211,27864897296,BARN,True,2021-02-10
12881698844,08827797953,BARN,True,2021-04-16
12881698844,07817898062,BARN,True,2021-04-16
13828798337,04851197740,FAR,True,2020-12-01
13828798337,05831498899,FAR,True,2020-12-01
13828798337,06928296235,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
13852199630,14879396884,BARN,True,2021-05-13
13852199983,None,BARN,True,2021-05-13
14811998088,09919094319,BARN,True,2021-06-10
14811998088,31839197872,BARN,True,2021-06-10
14812097254,01836897125,BARN,True,2021-01-26
14812097254,01836696804,BARN,True,2021-01-26
14826194635,17846197265,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
14852199831,26909199947,BARN,True,2021-05-26
14852199831,14839499710,BARN,True,2021-05-26
14852199912,30849597473,BARN,True,2021-05-30
14852199912,01829397478,BARN,True,2021-05-30
14872097628,01842349962,BARN,True,2021-01-26
14872097628,01836696804,BARN,True,2021-01-26
14875196597,17855095386,EKTEFELLE_ELLER_PARTNER,True,2021-06-21
14879396884,None,BARN,True,2021-05-18
14879396884,None,BARN,True,2021-05-18
14879396884,13852199630,MOR,True,2021-05-13
14884895791,26884996707,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
14915194827,21865394834,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
14925695786,None,EKTEFELLE_ELLER_PARTNER,True,2021-05-10
15811998289,01836897125,BARN,True,2021-01-26
15811998289,01836696804,BARN,True,2021-01-26
15818896082,05821196401,MOR,True,2020-12-01
15818896082,07841497982,MOR,True,2020-12-01
15818896082,10908498769,EKTEFELLE_ELLER_PARTNER,True,2020-12-01
15852199951,12919199405,BARN,True,2021-05-15
15852199951,11919999685,BARN,True,2021-05-15
16821497349,05918298217,BARN,True,2020-12-01
16821497349,11929196319,BARN,True,2020-12-01
16871997989,01836897125,BARN,True,2021-01-26
16871997989,01836696804,BARN,True,2021-01-26
16872099011,05868598443,BARN,True,2020-07-16
16872099011,02858598799,BARN,True,2020-07-16
16892097686,20908797060,BARN,True,2020-09-16
16892097686,01828698377,BARN,True,2020-09-16
17846197265,14826194635,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
17852199768,None,BARN,True,2021-05-17
17855095386,14875196597,EKTEFELLE_ELLER_PARTNER,True,2021-06-21
17875697463,31835497227,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
17882097897,17839497202,BARN,True,2020-08-17
17882097897,01889496130,BARN,True,2020-08-17
17885398022,09865298029,EKTEFELLE_ELLER_PARTNER,False,2021-06-21
17899198093,19892098053,MOR,True,2021-06-29
17899198093,None,EKTEFELLE_ELLER_PARTNER,True,2021-06-29
17911897733,None,BARN,True,2021-06-30
17911897733,02898196502,BARN,True,2021-06-29
17915195113,24865395554,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
17915795714,05846095103,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
17919198192,None,EKTEFELLE_ELLER_PARTNER,True,2021-05-10
18878298469,54918102305,EKTEFELLE_ELLER_PARTNER,True,2021-07-12
19892098053,None,BARN,True,2021-06-30
19892098053,17899198093,BARN,True,2021-06-29
20852199432,None,BARN,True,2021-05-20
20852199866,None,BARN,True,2021-05-20
20862199937,None,BARN,True,2021-06-20
21810997300,08827797953,BARN,True,2021-04-16
21810997300,07817898062,BARN,True,2021-04-16
21835295475,24815297403,EKTEFELLE_ELLER_PARTNER,True,2021-06-21
21852199633,None,BARN,True,2021-05-21
21865394834,14915194827,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
22812199874,01837598075,BARN,True,2021-02-05
22812199874,01839499066,BARN,True,2021-02-05
22812199955,01838499623,BARN,True,2021-02-05
22812199955,01838398495,BARN,True,2021-02-05
22821497101,25917695752,BARN,True,2021-04-16
22821497101,02858897443,BARN,True,2021-04-16
23812199803,01838499623,BARN,True,2021-02-05
23812199803,01838398495,BARN,True,2021-02-05
23902098119,17929598660,BARN,True,2020-10-23
23902098119,11899498374,BARN,True,2020-10-23
23922099820,05840797505,BARN,True,2021-02-09
23922099820,15830699233,BARN,True,2021-02-09
23922099901,17850599513,BARN,True,2021-02-09
23922099901,04890799456,BARN,True,2021-02-09
24811898623,01838499623,BARN,True,2021-02-05
24811898623,01838398495,BARN,True,2021-02-05
24811898895,01837598075,BARN,True,2021-02-05
24811898895,01839499066,BARN,True,2021-02-05
24815297403,21835295475,EKTEFELLE_ELLER_PARTNER,True,2021-06-21
24858997565,None,EKTEFELLE_ELLER_PARTNER,True,2021-05-10
24865196578,27845396103,EKTEFELLE_ELLER_PARTNER,False,2021-06-21
24865395554,17915195113,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
24865896766,26855195339,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
24881698974,04878597368,BARN,True,2021-06-10
24881698974,04818697843,BARN,True,2021-06-10
24896795526,57916900211,EKTEFELLE_ELLER_PARTNER,True,2021-07-13
25852199760,03899698656,BARN,True,2021-05-26
25852199760,10919899897,BARN,True,2021-05-25
25852199841,23889697652,BARN,True,2021-05-25
25852199841,13840099673,BARN,True,2021-05-25
25852199922,24869797894,BARN,True,2021-06-02
25852199922,28909798894,BARN,True,2021-05-25
25871997244,01837598075,BARN,True,2021-02-05
25871997244,01839499066,BARN,True,2021-02-05
25871997325,01838499623,BARN,True,2021-02-05
25871997325,01838398495,BARN,True,2021-02-05
25906797685,None,EKTEFELLE_ELLER_PARTNER,True,2021-05-10
25917695752,27841899666,FAR,True,2021-04-16
25917695752,22821497101,FAR,True,2021-04-16
25917695752,02858897443,EKTEFELLE_ELLER_PARTNER,True,2021-04-16
25929198347,None,BARN,True,2021-05-18
25929198347,None,BARN,True,2021-05-18
26812199659,12918399257,BARN,True,2021-02-09
26852098057,16839896887,BARN,True,2020-05-26
26855195339,24865896766,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
26871998077,01837598075,BARN,True,2021-02-05
26871998077,01839499066,BARN,True,2021-02-05
26872096379,15878599893,BARN,True,2020-07-26
26872096379,11888399714,BARN,True,2020-07-26
26884996707,14884895791,EKTEFELLE_ELLER_PARTNER,True,2020-06-16
27811898479,01828499633,BARN,True,2021-02-08
27811898479,01828699837,BARN,True,2021-02-08
27812199345,12878197559,BARN,True,2021-02-10
27812199345,17898198227,BARN,True,2021-02-10
27812199698,15880098222,BARN,True,2021-02-10
27812199698,23839897634,BARN,True,2021-02-10
27812199779,09884397631,BARN,True,2021-02-10
27812199779,24835498561,BARN,True,2021-02-10
27812199930,27903249671,BARN,True,2021-02-10
27812199930,11824099547,BARN,True,2021-02-10
27841899666,25917695752,BARN,True,2021-04-16
27841899666,02858897443,BARN,True,2021-04-16
27842097474,22928298675,BARN,True,2020-04-27
27842097474,12918398544,BARN,True,2020-04-27
27845396103,24865196578,EKTEFELLE_ELLER_PARTNER,False,2021-06-21
27862199486,None,BARN,True,2021-06-29
27862199486,30839498094,BARN,True,2021-06-27
27862199648,None,BARN,True,2021-06-27
27862199729,None,BARN,True,2021-06-29
27862199729,15909398409,BARN,True,2021-06-27
27862199990,None,BARN,True,2021-06-27
28811898912,12918399257,BARN,True,2021-02-09
29811898285,09884397631,BARN,True,2021-02-10
29811898285,24835498561,BARN,True,2021-02-10
29811898447,27903249671,BARN,True,2021-02-10
29811898447,11824099547,BARN,True,2021-02-10
29811898528,15880098222,BARN,True,2021-02-10
29811898528,23839897634,BARN,True,2021-02-10
29871998912,12918399257,BARN,True,2021-02-09
29891997866,12878197559,BARN,True,2021-02-10
29891997866,17898198227,BARN,True,2021-02-10
30811797762,12878197559,BARN,True,2021-02-10
30811797762,17898198227,BARN,True,2021-02-10
30871998104,09884397631,BARN,True,2021-02-10
30871998104,24835498561,BARN,True,2021-02-10
30871998376,27903249671,BARN,True,2021-02-10
30871998376,11824099547,BARN,True,2021-02-10
30871998619,15880098222,BARN,True,2021-02-10
30871998619,23839897634,BARN,True,2021-02-10
31835497227,17875697463,EKTEFELLE_ELLER_PARTNER,True,2021-06-16
31839197872,14811998088,MOR,True,2021-06-10
31851898142,12878197559,BARN,True,2021-02-10
31851898142,17898198227,BARN,True,2021-02-10
42878901007,None,EKTEFELLE_ELLER_PARTNER,True,2021-05-09
51921975515,None,BARN,True,2021-02-11
51921975787,None,BARN,True,2021-02-11
54918102305,18878298469,EKTEFELLE_ELLER_PARTNER,True,2021-07-12
56902075580,01837798279,BARN,True,2021-01-28
57901675416,01837798279,BARN,True,2021-01-28
57901875458,01837798279,BARN,True,2021-01-28
57916900211,24896795526,EKTEFELLE_ELLER_PARTNER,True,2021-07-13
01828499633,27811898479,MOR,True,2021-02-08
01828499633,28871997766,MOR,True,2021-02-08
01828499633,25812199962,MOR,True,2021-02-08
01828499633,04844797740,BARN,True,1984-02-01
01828499633,24854898406,BARN,True,1984-02-01
01828698377,16892097686,FAR,True,2021-04-08
01828698377,20908797060,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
01828698377,28905696779,BARN,True,1986-02-01
01828698377,12895898617,BARN,True,1986-02-01
01828699837,27811898479,MEDMOR,True,2021-02-08
01828699837,28871997766,MEDMOR,True,2021-02-08
01828699837,25812199962,MEDMOR,True,2021-02-08
01828699837,12866597748,BARN,True,1986-02-01
01828699837,30896499862,BARN,True,1986-02-01
01829397478,14852199912,MOR,True,2021-05-30
01829397478,30849597473,EKTEFELLE_ELLER_PARTNER,True,2021-04-15
01829397478,31876096962,BARN,True,1993-02-01
01829397478,29895698286,BARN,True,1993-02-01
01836696804,28870596970,MOR,True,2021-04-08
01836696804,21860598504,MOR,True,2021-04-08
01836696804,15811998289,MOR,True,2021-01-26
01836696804,16871997989,MOR,True,2021-01-26
01836696804,14812097254,MOR,True,2021-01-26
01836696804,14872097628,MOR,True,2021-01-26
01836696804,12812199631,MOR,True,2021-01-26
01836696804,10906993134,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
01836696804,16913749131,BARN,True,1966-03-01
01836696804,14833847024,BARN,True,1966-03-01
01836897125,29870399187,FAR,True,2021-04-08
01836897125,26900499441,FAR,True,2021-04-08
01836897125,12919398149,FAR,True,2021-04-08
01836897125,10849998612,FAR,True,2021-04-08
01836897125,15811998289,FAR,True,2021-01-26
01836897125,16871997989,FAR,True,2021-01-26
01836897125,14812097254,FAR,True,2021-01-26
01836897125,14872097628,FAR,True,2021-01-26
01836897125,12812199631,FAR,True,2021-01-26
01836897125,30866697813,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
01836897125,19904198563,BARN,True,1968-03-01
01836897125,24924297251,BARN,True,1968-03-01
01837598075,24811898895,MOR,True,2021-02-05
01837598075,26871998077,MOR,True,2021-02-05
01837598075,22812199874,MOR,True,2021-02-05
01837598075,16914496326,BARN,True,1975-03-01
01837598075,05904198465,BARN,True,1975-03-01
01837798279,57901675416,MOR,True,2021-01-28
01837798279,57901875458,MOR,True,2021-01-28
01837798279,56902075580,MOR,True,2021-01-28
01837798279,20824397369,BARN,True,1977-03-01
01837798279,19824599281,BARN,True,1977-03-01
01838398495,24811898623,MEDMOR,True,2021-02-05
01838398495,25871997325,MEDMOR,True,2021-02-05
01838398495,23812199803,MEDMOR,True,2021-02-05
01838398495,28925497187,BARN,True,1983-03-01
01838398495,21815598838,BARN,True,1983-03-01
01838499623,24811898623,MOR,True,2021-02-05
01838499623,25871997325,MOR,True,2021-02-05
01838499623,23812199803,MOR,True,2021-02-05
01838499623,16835598318,BARN,True,1984-03-01
01838499623,08845599875,BARN,True,1984-03-01
01839499066,27811898630,MEDMOR,True,2021-02-08
01839499066,28871997847,MEDMOR,True,2021-02-08
01839499066,25812199881,MEDMOR,True,2021-02-08
01839499066,24811898895,MEDMOR,True,2021-02-05
01839499066,26871998077,MEDMOR,True,2021-02-05
01839499066,22812199874,MEDMOR,True,2021-02-05
01839499066,23886697325,BARN,True,1994-03-01
01839499066,20876798809,BARN,True,1994-03-01
01842349962,14872097628,FAR,True,2021-04-08
01889496130,17882097897,FAR,True,2021-04-08
01889496130,02881798460,FAR,True,2021-04-08
01889496130,17839497202,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
01889496130,13816996745,BARN,True,1994-08-01
01889496130,30857097099,BARN,True,1994-08-01
02858598799,23881298619,FAR,True,2021-04-08
02858598799,21880999009,FAR,True,2021-04-08
02858598799,16872099011,FAR,True,2021-04-08
02858598799,03911899050,FAR,True,2021-04-08
02858598799,05868598443,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
02858598799,21885297193,BARN,True,1985-05-02
02858598799,04915198606,BARN,True,1985-05-02
03899698656,25852199760,MEDMOR,True,2021-05-26
03899698656,01881599607,MOR,True,2021-05-15
03899698656,10919899897,EKTEFELLE_ELLER_PARTNER,True,2021-02-27
03899698656,03817197700,BARN,True,1996-09-03
03899698656,30867499659,BARN,True,1996-09-03
04851197740,06928296235,BARN,True,2020-12-01
04851197740,13828798337,BARN,True,2020-12-01
04878399256,10888297249,EKTEFELLE_ELLER_PARTNER,True,2021-06-24
04878399256,22814697057,BARN,True,1983-07-04
04878399256,07914698760,BARN,True,1983-07-04
04888099293,15921498656,MOR,True,2021-04-08
04888099293,08900399104,MOR,True,2021-04-08
04888099293,06895297036,BARN,True,1980-08-04
04888099293,24817898501,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
04888099293,11895197353,BARN,True,1980-08-04
04890799456,23922099901,MOR,True,2021-02-09
04890799456,19888599153,BARN,True,2007-09-04
04890799456,27818299082,BARN,True,2007-09-04
05840797505,23922099820,FAR,True,2021-02-09
05840797505,12817197157,BARN,True,2007-04-05
05840797505,05917397092,BARN,True,2007-04-05
05868598443,23881298619,MOR,True,2021-04-08
05868598443,21880999009,MOR,True,2021-04-08
05868598443,16872099011,MOR,True,2021-04-08
05868598443,03911899050,MOR,True,2021-04-08
05868598443,02858598799,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
05868598443,25875896523,BARN,True,1985-06-05
05868598443,24905699012,BARN,True,1985-06-05
05908699418,11820198338,MOR,True,2021-02-10
05908699418,12860296347,MOR,True,2021-02-10
05908699418,11900397978,MOR,True,2021-02-10
05908699418,08820596898,MOR,True,2021-02-10
05908699418,09860697359,MOR,True,2021-02-10
05908699418,08900797924,MOR,True,2021-02-10
05908699418,05820997214,MOR,True,2021-02-10
05908699418,06861098158,MOR,True,2021-02-10
05908699418,05901198995,MOR,True,2021-02-10
05908699418,02821398609,MOR,True,2021-02-10
05908699418,03861497916,MOR,True,2021-02-10
05908699418,02901596789,MOR,True,2021-02-10
05908699418,30811796464,MOR,True,2021-02-10
05908699418,31851898576,MOR,True,2021-02-10
05908699418,29891998307,MOR,True,2021-02-10
05908699418,27812199426,MOR,True,2021-02-10
05908699418,26897196149,EKTEFELLE_ELLER_PARTNER,True,2017-04-06
05908699418,03846498175,BARN,True,1986-10-05
05908699418,25866599060,BARN,True,1986-10-05
05919498600,03847192703,BARN,True,1994-11-05
05919498600,23907097013,BARN,True,1994-11-05
06918898261,06895297036,BARN,True,1988-11-06
06918898261,22818899193,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
06918898261,11895197353,BARN,True,1988-11-06
08925597903,30918398437,FAR,True,2021-04-08
08925597903,20828398084,FAR,True,2021-04-08
08925597903,12857998896,FAR,True,2021-04-08
08925597903,10888297249,FAR,True,2021-04-08
08925597903,20905599055,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
08925597903,07832049187,BARN,True,1955-12-08
08925597903,29921849093,BARN,True,1955-12-08
09884397631,29811898285,MOR,True,2021-02-10
09884397631,30871998104,MOR,True,2021-02-10
09884397631,27812199779,MOR,True,2021-02-10
09884397631,24835498561,EKTEFELLE_ELLER_PARTNER,False,2019-05-04
09884397631,01820649393,BARN,True,1943-08-09
09884397631,25890749685,BARN,True,1943-08-09
09903748394,06866696789,FAR,True,1966-06-06
09903748394,16821547265,BARN,True,1937-10-09
09903748394,08841349130,BARN,True,1937-10-09
09903748394,27863948482,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
09903748394,14867397036,FAR,True,1973-06-14
09903748394,20917196819,FAR,True,1971-11-20
09903748394,17927396661,FAR,True,1973-12-17
09903748394,15817196532,FAR,True,1971-01-15
10919899897,01881599607,MOR,True,2021-06-02
10919899897,25852199760,MOR,True,2021-05-25
10919899897,03899698656,EKTEFELLE_ELLER_PARTNER,True,2021-02-27
10919899897,13876698743,BARN,True,1998-11-10
10919899897,05857097485,BARN,True,1998-11-10
11824099547,29811898447,FAR,True,2021-02-10
11824099547,30871998376,FAR,True,2021-02-10
11824099547,27812199930,FAR,True,2021-02-10
11824099547,27903249671,EKTEFELLE_ELLER_PARTNER,False,2019-08-16
11824099547,03900149769,BARN,True,1940-02-11
11824099547,05860149224,BARN,True,1940-02-11
11858297550,11820197897,FAR,True,2021-02-10
11858297550,12860297211,FAR,True,2021-02-10
11858297550,11900397706,FAR,True,2021-02-10
11858297550,08820596626,FAR,True,2021-02-10
11858297550,09860697197,FAR,True,2021-02-10
11858297550,08900797762,FAR,True,2021-02-10
11858297550,05820997052,FAR,True,2021-02-10
11858297550,06861097798,FAR,True,2021-02-10
11858297550,05901198723,FAR,True,2021-02-10
11858297550,02821398366,FAR,True,2021-02-10
11858297550,03861497754,FAR,True,2021-02-10
11858297550,02901599079,FAR,True,2021-02-10
11858297550,30811796030,FAR,True,2021-02-10
11858297550,31851898304,FAR,True,2021-02-10
11858297550,29891998064,FAR,True,2021-02-10
11858297550,27812199507,FAR,True,2021-02-10
11858297550,05928598693,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
11858297550,01844697712,BARN,True,1982-05-11
11858297550,12874897068,BARN,True,1982-05-11
11888399714,26872096379,FAR,True,2020-07-26
11888399714,15878599893,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
11888399714,30916098509,BARN,True,1983-08-11
11888399714,15875898059,BARN,True,1983-08-11
11888399714,17880999648,FAR,True,2009-08-17
11888399714,01911299743,FAR,True,2012-11-01
11895197353,06895297036,EKTEFELLE_ELLER_PARTNER,True,2021-05-27
11895197353,28821748544,BARN,True,1951-09-11
11895197353,20871648671,BARN,True,1951-09-11
11895197353,04888099293,FAR,True,1980-08-04
11895197353,15827898489,FAR,True,1978-02-15
11895197353,23868898127,FAR,True,1988-06-23
11895197353,06918898261,FAR,True,1988-11-06
11899498374,23902098119,FAR,True,2020-10-23
11899498374,17929598660,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
11899498374,30856795752,BARN,True,1994-09-11
11899498374,01926896047,BARN,True,1994-09-11
11901649199,06895297036,FAR,True,1952-09-05
11901649199,22921848831,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
11901649199,21815497357,FAR,True,1954-01-21
11901649199,04844696936,FAR,True,1946-04-04
11901649199,14925297632,FAR,True,1952-12-14
11919999685,15852199951,MOR,True,2021-05-15
11919999685,12919199405,EKTEFELLE_ELLER_PARTNER,True,2021-04-01
11919999685,04817299348,BARN,True,1999-11-11
11919999685,03907298069,BARN,True,1999-11-11
12850198428,09852199846,MOR,True,2021-05-09
12850198428,16917096337,BARN,True,2001-05-12
12850198428,12846896412,BARN,True,2001-05-12
12878197559,11820198176,FAR,True,2021-02-10
12878197559,12860296851,FAR,True,2021-02-10
12878197559,11900397544,FAR,True,2021-02-10
12878197559,08820597924,FAR,True,2021-02-10
12878197559,09860698061,FAR,True,2021-02-10
12878197559,08900797339,FAR,True,2021-02-10
12878197559,05820998199,FAR,True,2021-02-10
12878197559,06861097607,FAR,True,2021-02-10
12878197559,05901198642,FAR,True,2021-02-10
12878197559,02821397734,FAR,True,2021-02-10
12878197559,03861498629,FAR,True,2021-02-10
12878197559,02901598870,FAR,True,2021-02-10
12878197559,30811797762,FAR,True,2021-02-10
12878197559,31851898142,FAR,True,2021-02-10
12878197559,29891997866,FAR,True,2021-02-10
12878197559,27812199345,FAR,True,2021-02-10
12878197559,17898198227,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
12878197559,24856096323,BARN,True,1981-07-12
12878197559,12925798604,BARN,True,1981-07-12
12878197559,19850898831,FAR,True,2008-05-19
12918398544,27842097474,FAR,True,2020-04-27
12918398544,22928298675,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
12918398544,14924897539,BARN,True,1983-11-12
12918398544,27904698046,BARN,True,1983-11-12
12918398544,02831398437,FAR,True,2013-03-02
12918398544,26890898946,FAR,True,2008-09-26
12918399257,28811898912,MOR,True,2021-02-09
12918399257,29871998912,MOR,True,2021-02-09
12918399257,26812199659,MOR,True,2021-02-09
12918399257,05925198392,BARN,True,1983-11-12
12918399257,30875398616,BARN,True,1983-11-12
12919199405,15852199951,MEDMOR,True,2021-05-15
12919199405,11919999685,EKTEFELLE_ELLER_PARTNER,True,2021-04-01
12919199405,10885698536,BARN,True,1991-11-12
12919199405,09875697894,BARN,True,1991-11-12
13840099673,25852199841,MOR,True,2021-05-25
13840099673,23889697652,EKTEFELLE_ELLER_PARTNER,True,2021-05-01
13840099673,18846498121,BARN,True,2000-04-13
13840099673,27916499278,BARN,True,2000-04-13
13868199428,07852098559,MOR,True,2020-05-07
13868199428,15858298390,EKTEFELLE_ELLER_PARTNER,True,1970-01-01
13868199428,15864998566,BARN,True,1981-06-13
13868199428,11815098872,BARN,True,1981-06-13
13868199428,17830799303,MOR,True,2007-03-17
13868199428,14872099205,MOR,True,2020-07-14
13868199428,07821599762,MOR,True,2015-02-07
13868199428,08861699782,MOR,True,2016-06-08
14839499710,14852199831,FAR,True,2021-05-26
14839499710,26909199947,EKTEFELLE_ELLER_PARTNER,True,2021-04-01
14839499710,03915998533,BARN,True,1994-03-14
14839499710,25875698411,BARN,True,1994-03-14
14900099852,08852199998,MOR,True,2021-05-08
14900099852,21887399171,BARN,True,2000-10-14
